# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"I-trax Inc.",DMX
"Dune Energy Inc.",DNE
"Digital Angel Corp.",DOC
"SHRT DOW30 PROSHARES",DOG
"MS CAP PRT DJ IN ADV",DPP
"Digital Power Corp.",DPW
"Coinmach Service Corp.",DRA
"MS AMEX PHARMA IDX",DRU
"DEBT RESOLVE INC",DRV
"Coinmach Service Corp.",DRY
"streetTRACKS DJ Wilshire Small Cap ETF",DSC
"streetTRACKS DJ Wilshire Small Cp Growth",DSG
"ML STR RET INDL 15",DSP
"streetTRACKS DJ Wilshire Small Cap Value",DSV
"Covad Communications Group Inc.",DVW
"PT ULTRSHRT DOW30 PS",DXD
"Daxor Corp.",DXR
"Evergreen Income Advantage Fund",EAD
"HearUSA Inc.",EAR
"MS PROPELS VALUE",EBK
"CGF CVRD ELKS",ECC
"Ellsworth Fund Ltd.",ECF
"Encision Inc.",ECI
"WACHOVIA CORPORATION",ECN
"Canterbury Park Holding Corp.",ECP
"ENDEAVOR ACQ CORP",EDA
"Consolidated Edison Co. of New York Inc.",EDV
"MS CPN MS EAFE IDX",EEC
"Ecology & Environment Inc.",EEI
"Empire Financial Holding Co.",EFH
"MS CAP NTS MSCI EAFE",EFP
"Entree Gold Inc.",EGI
"Eldorado Gold Corp.",EGO
"Commerce Energy Group Inc.",EGR
"Engex Inc.",EGX
"Eaton Vance Insured California Municipal Bond Fund II",EIA
"Eaton Vance Insured Florida Municipal Bond Fund",EIF
"Energy Infrastructure Acquisition Corp.",EII
"Eaton Vance Insured Municipal Bond Fund",EIM
"Eaton Vance Insured Ohio Municipal Bond Fund",EIO
"Eaton Vance Insured Pennsylvania Municipal Bond Fund",EIP
"Eaton Vance Insured Municipal Bond Fund II",EIV
"Europe 2001 HOLDRs",EKH
"CF NEWMONT MNG ELKS",EKM
"streetTRACKS DJ Wilshire Lg Cap Growth",ELG
"Elite Pharmaceuticals Inc.",ELI
"streetTRACKS DJ Wilshire Large Cap",ELR
"streetTRACKS DJ Wilshire Large Cap Value",ELV
"streetTRACKS DJ Wilshire Mid Cap Growth",EMG
"Eaton Vance Michigan Municipal Income Trust",EMI
"Eaton Vance Insured New Jersey Municipal Bond Fund",EMJ
"Eastern Co.",EML
"streetTRACKS DJ Wilshire Mid Cap",EMM
"streetTRACKS DJ Wilshire Mid Cap Value",EMV
"Enova Systems Inc.",ENA
"Endeavor International Corp.",END
"ENGlobal Corp.",ENG
"Eaton Vance Insured New York Municipal Bond Fund Inc.",ENX
"EnerNorth Industries Inc.",ENY
"Environmental Power Corp.",EPG
"Evolution Petroleum Corp.",EPM
"Evergreen Managed Income Fund",ERC
"Evergreen Utilities and High Income Fund",ERH
"Empire Resources Inc.",ERS
"Emeritus Corp.",ESC
"Espey Manufacturing & Electronics Corp.",ESP
"MS DW BRIDGES R2000",EST
"Environmental Tectonics Corp.",ETC
N/A,ETF
"CITIGRP ELKS TXS INS",ETI
"Corriente Resources Inc.",ETQ
"Eaton Vance New Jersey Municipal Income Trust",EVJ
"Eaton Vance Insured California Municipal Bond Fund",EVM
"Eaton Vance Ohio Municipal Income Trust",EVO
"Eaton Vance Pennsylvania Municipal Income Trust",EVP
"Eaton Vance Limited Duration Income Fund",EVV
"Eaton Vance New York Municipal Income Trust",EVY
"Aberdeen Asia-Pacific Income Fund Inc.",FAX
"First Trust AMEX Biotechnology Index",FBT
"First Trust/Four Corners Senior Floating Rate Income Fund",FCM
"Aberdeen Global Income Fund Inc.",FCO
"First Trust Morningstar Div Leaders Idx",FDL
"First Trust Dow Jones Select MicroCap",FDM
"First Trust Dow Jones Internet Index",FDN
"Federal Trust Corp.",FDT
"1ST TR DB STR VLU FD",FDV
"Energy Income & Growth Fund",FEN
"Franklin Electronic Publishers Inc.",FEP
"Eaton Vance Florida Municipal Income Trust",FEV
"Fortune Industries, Inc.",FFI
"Full House Resorts Inc.",FLL
"Flight Safety Technologies Inc.",FLT
"Fountain Powerboat Industries Inc.",FPB
"1ST TR TX AD PR INC",FPI
"Fieldpoint Petroleum Corp.",FPP
"Florida Public Utilities Co.",FPU
"First Trust IPOX-100 Index",FPX
"Friedman Industries Inc.",FRD
"Fronteer Development Group Inc.",FRG
"Frisch's Restaurants Inc.",FRS
"Flexible Solutions International Inc.",FSI
"Fusion Telecommunications International Inc.",FSN
"Franklin Street Properties Corp.",FSP
"Franklin Templeton Ltd. Duration Income Trust",FTF
"Flotek Industries Inc.",FTK
"First Trust Value Line Dividend Fund",FVD
"Five Star Quality Care Inc.",FVE
"First Trust Value Line 100 Fund",FVL
"First West Virginia Bancorp Inc.",FWV
"Foxby Corp.",FXX
"Cuisine Solutions Inc.",FZN
"Gainsco Inc.",GAN
"GRUBB & ELLIS REALTY",GAV
"Galaxy Energy Corp.",GAX
"Great Basin Gold Ltd.",GBN
"CabelTel International Corporation",GBR
"Market Vectors Gold Miners",GDX
"Global Entertainment Corp.",GEE
"Genesis Energy LP",GEL
"GENERAL FINANCE CORP",GFN
"Gabelli Global Gold, Natural Resources & Income Trust",GGN
"GeoGlobal Resources Inc.",GGR
"Graham Corp.",GHM
"Global Income Fund Inc.",GIF
"MORGAN STANLEY NOTES",GIT
"Wilber Corp.",GIW
"GLOBAL LOGISTICS ACQ",GLA
"Glencairn Gold Corp.",GLE
"MRGN STNLY GLBL IBC",GLL
"CLOUGH GLOBAL OPPRT",GLO
"Clough Global Equity Fund",GLQ
"Gabelli Global Utility & Income Trust",GLU
"Clough Global Allocation Fund",GLV
"Idaho General Mines Inc.",GMO
"Gouverneur Bancorp Inc.",GOV
"Gorman-Rupp Co.",GRC
"CREDIT & ASSET2002-1",GRH
"Gammon Lake Resources Inc.",GRS
"Gold Reserve Inc.",GRZ
"GENERAL STEEL HLDGS",GSI
"Golden Star Resources Ltd.",GSS
"Gastar Exploration Ltd.",GST
"Gasco Energy Inc.",GSX
"Golf Trust of America Inc.",GTA
"Cytomedix Inc.",GTF
"Goldfield Corp.",GV
"GSE Systems Inc.",GVP
"Grey Wolf Inc.",GW
"Hawaiian Holdings Inc.",HA
"HARBOR ACQ CORP",HAC
"Healthcare Acquisition Corp.",PIP
"Henry Bros. Electronics, Inc.",HBE
"Hanover Capital Mortgage Holdings Inc.",HCM
"HyperSpace Communications Inc.",MPZ
"HD PARTNERS ACQUISIT",HDP
"Hyperdynamics Corp.",HDY
"Hemispherx Biopharma, Inc.",HEB
"Harken Energy Corp.",HKN
"HemoSense, Inc.",HEM
"Hooper Holmes Inc.",HH
"Internet HOLDRs",HHH
"HMG/Courtland Properties Inc.",HMG
"MS CAP PRT BEAR NTS",HPB
"Arrhythmia Research Technology Inc.",HRT
"Hi-Shear Technology Corp.",HSR
"Hersha Hospitality Trust",HT
"Hungarian Telephone and Cable Corp.",HTC
"Hallwood Group Inc.",HWG
"Hawk Corp.",HWK
"Halifax Corp.",HX
"Aberdeen Australia Equity Fund Inc.",IAF
"Internet Architecture HOLDRs",IAH
"IA Global Inc.",IAO
"iShares COMEX Gold Trust",IAU
"International Absorbents Inc.",IAX
"iShares Nasdaq Biotechnology",IBB
"Investors Capital Holdings Ltd.",ICH
"CF INDEX LASERS BASE",ICZ
"Citigroup Global Markets Holdings Inc.",IDJ
"Intelli-Check Inc.",IDN
"Idera Pharmaceuticals Inc.",IDP
"CF S&P 500 LASERS",IEL
"Indonesia Fund Inc.",IF
"International Finance Corporation",IFK
"IGI Inc.",IG
"INDIA GLOBAL CAPITAL",IGC
"Innsuites Hospitality Trust",IHT
"Ivivi Technologies Inc.",II
"Imergent Inc.",IIG
"Internet Infrastructure HOLDRs",IIH
"MSDW STRUCTURED PROD",IIL
"Intricon Corp.",IIN
"ilinc Communications, Inc.",ILC
"Isolagen Inc.",ILE
"Interleukin Genetics Inc.",ILI
"ILX Resorts Inc.",ILX
"INDEX LASERS NIK 225",ILY
"Inverness Medical Innovations Inc.",IMA
"Immtech Pharmaceuticals, Inc.",IMM
"Imperial Oil Ltd.",IMO
"IMA Exploration Inc.",IMR
"Implant Sciences Corp.",IMX
"Inovio Biomedical Corp.",INO
"Intelligent Systems",INS
"Interoil Corp.",IOC
"ION Media Networks, Inc.",ION
"Income Opportunity Realty Investors Inc.",IOT
"IOMED Inc.",IOX
"Interpharm Holdings Inc.",IPA
"Indexplus Income Fund",IPB
"iParty Corp.",IPT
"Rewards Network Inc.",IRN
"IBT Bancorp Inc.",IRW
N/A,ISL
"ISCO International Inc.",ISO
"Insite Vision Inc.",ISV
"Iteris Inc.",ITI
"IVAX Diagnostics Inc.",IVD
"ImageWare Systems Inc.",IW
"Javelin Pharmaceuticals Inc.",JAV
"J. Alexander's Corp.",JAX
"Communications Systems Inc.",JCS
"JED Oil Inc.",JDO
"Jennifer Convertibles Inc.",JEN
"JK ACQUISITION CORP",JKA
"Jaclyn Inc.",JLN
"General Employment Enterprises Inc.",JOB
"MS PLUS NIKKEI 225",JPK
"Nuveen Real Estate Income Fund",JRS
"Jinpan International Ltd.",JST
"Coffee Holding Co.Inc.",JVA
"Arcadia Resources Inc.",KAD
"Callisto Pharmaceuticals Inc.",KAL
"streetTRACKS KBW Bank ETF",KBE
"Kimber Resources Inc.",KBX
"streetTRACKS KBW Capital Markets",KCE
"Kitty Hawk Inc.",KHK
"streetTRACKS KBW Insurance",KIE
"Kodiak Oil & Gas Corp.",KOG
"streetTRACKS KBW Regional Banking",KRE
"Crystallex International Corp.",KRY
"KSW Inc.",KSW
N/A,LAQ
"LaBarge Inc.",LB
"Lannett Co. Inc.",LCI
"ML STG RTN NT I15 IX",LDB
"The LGL Group, Inc.",LGL
"Lodgian Inc.",LGN
"Samaritan Pharmaceuticals Inc.",LIV
"Lazare Kaplan International Inc.",LKI
"LMS Medical Systems Inc.",LMZ
"Cheniere Energy Inc.",LNG
"Spark Networks plc",LOV
"LaPolla Industries, Inc.",LPA
"Lorus Therapeutics Inc.",LRP
"Ladenburg Thalmann Financial Services Inc.",LTS
"LSB Industries Inc.",LXU
"Eaton Vance Insured Massachusetts Municipal Bond Fund",MAB
"Maine & Maritimes Corp.",MAM
"MRGN STNLY STAR CBOE",MBJ
"MS BRIDGES 15 FINL",MBK
"Mid Penn Bancorp Inc.",MBP
"Mercantile Bancorp Inc.",MBR
"MORGAN STANLEY STRS",MBS
"MS DW BRIDGES S&P400",MCB
"Contango Oil & Gas Co.",MCF
"ML S&P 500 MITTS",MCP
"Medicure Inc.",MCU
"Mad Catz Interactive Inc.",MCZ
"Metropolitan Health Networks Inc.",MDF
"MHI Hospitality Corp.",MDH
"Mountain Province Diamonds Inc.",MDM
"MidCap SPDRs",MDY
"Metalico Inc.",MEA
"Midwest Air Group Inc.",MEH
"MCF Corp.",MEM
"MicroFinancial Inc.",MFI
"Minefinders Corp. Ltd.",MFN
"Mines Management Inc.",MGN
"MedicSight Inc.",MGT
"Manhattan Pharmaceuticals Inc.",MHA
"Massachusetts Health and Education Tax-Exempt Trust",MHE
"Man Sang Holdings Inc.",MHJ
"ML HALLIBURTON STRID",MHR
"MPS - MS TECH INDEX",MHT
"MS 3 IDX CPN'S",MIB
"Eaton Vance Insured Michigan Municipal Bond Fund",MIW
"MSDW 2%MPS NIKKEI225",MJP
"Market 2000 HOLDRs",MKH
"ML DJIA MITTS 7/09",MKO
"ML S&P 500 MITTS",MKP
"Maui Land & Pineapple Co. Inc.",MLP
"ML VAL SEL 30 SRN",MLV
"ML S&P 500 MITTS",MLW
"METALLINE MINING CO",MMG
"Minco Mining & Metals Corp.",MMK
"Eaton Vance Massachusetts Municipal Income Trust",MMV
"Miramar Mining Corp.",MNG
"ML NIKKEI225 MITTS09",MNK
"MORGAN STN CAP PR NT",MOR
"MTS Medication Technologies Inc.",MPP
"Metallica Resources Inc.",MRB
"Merrimac Industries Inc.",MRM
"MPS LINK TO S&P500",MRP
"Memry Corp.",MRY
"Movie Star Inc.",MSI
"Midsouth Bancorp Inc.",MSL
"Emerson Radio Corp.",MSN
"MS CAP PROT S&P M400",MST
"MPS RUSSELL 2000 IDX",MSU
"Mission West Properties Inc.",MSW
"streetTRACKS Morgan Stanley Technology",MTK
"BlackRock MuniVest Fund, Inc.",MVF
"ULTRA MC400 PROSHRS",MVV
"MarkWest Hydrocarbon Inc.",MWP
"Minnesota Municipal Income Portfolio Inc.",MXA
"Mexco Energy Corp.",MXC
"MAXXAM Inc.",MXM
"First American Minnesota Municipal Income Fund II Inc.",MXN
"SHRT MC400 PROSHARES",MYY
"BlackRock Muniyield Arizona Fund, Inc.",MZA
"MS S&P 500 PLUS",MZP
"Matritech Inc.",MZT
"PT ULTRSHR MC400 PS",MZZ
"Northern Dynasty Minerals Ltd.",NAK
"NORTH AM INSUR LDRS",NAO
"STR PRD NASDAQ100",NAS
"Neuberger Berman Intermediate Municipal Fund Inc.",NBH
"Nuveen Ohio Dividend Advantage Municipal Fund 2",NBJ
"Neuberger Berman New York Intermediate Municipal Fund Inc.",NBO
"Neuberger Berman California Intermediate Municipal Fund Inc.",NBW
"Nuveen California Premium Income Municipal Fund",NCU
"Neuberger Berman Dividend Advantage Fund Inc.",NDD
"Nuveen Insured Tax Free Advantage Municipal Fund",NEA
"New England Realty Associates LP",NEN
"Nephros Inc.",NEP
"MORGAN STANLEY PR NT",NES
"Nuveen Connecticut Dividend Advantage Municipal Fund",NFC
"Nuveen Maryland Dividend Advantage Municipal Fund",NFM
"Nuveen Arizona Dividend Advantage Municipal Fund",NFZ
"NovaGold Resources Inc.",NG
"Nuveen Virginia Dividend Advantage Municipal Fund",NGB
"New Gold, Inc.",NGD
"Nuveen Connecticut Dividend Advantage Municipal Fund 2",NGK
"Nuveen Connecticut Dividend Advantage Municipal Fund 3",NGO
"Natural Gas Services Group Inc.",NGS
"Nuveen Insured Massachusetts Tax Free Advantage Municipal Fund",NGX
"National Healthcare Corp.",NHC
"National Health Realty Inc.",NHR
"Nuveen North Carolina Dividend Advantage Municipal Fund 3",NII
"Nuveen Georgia Dividend Advantage Municipal Fund 2",NKG
"Nuveen Insured California Dividend Advantage Municipal Fund",NKL
"Nuveen Insured New York Dividend Advantage Municipal Fund",NKO
"MORGAN STANLEY PLUS",NKP
