# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"Ethanex Energy, Inc.",EHNX
"Excellency Investment Realty Trust, Inc.",EIVR
"Electronic Control Security Inc.",EKCS
"Eureka Financial Corp.",EKFC
"Eldorado Artesian Springs Inc.",ELDO
"ELMER BANCORP INC",ELMA
"EL NINO VENTURES INC",ELNOF
"Electronic Systems Technology Inc.",ELST
"eMagin Corp.",EMAN
"Emclaire Financial Corp.",EMCF
"eMed Future, Inc.",EMDF
"Medcom USA Inc.",EMED
"Emergent Group Inc.",EMGP
"Empire Petroleum Corp.",EMPR
"Empyrean Holdings Inc.",EMPY
"ENTERPRISE NAT BK NJ",ENBN
"EnDevCo Inc.",ENDE
"Ener1 Inc.",ENEI
"Enigma Software Group, Inc.",ENGM
"enherent Corp.",ENHT
"Envirokare Tech Inc.",ENVK
"ENERGY EXPLORATION",ENXTF
"Epicus Communications Group Inc.",EPCG
"EP Global Communications Inc.",EPGL
"Epolin Inc.",EPLN
"Ephrata National Bank",EPNB
"Equitable Financial Corp.",EQFC
"Equicap Inc.",EQPI
"ERF Wireless, Inc.",ERFW
"ERHC Energy Inc.",ERHE
"eRoomSystem Technologies Inc.",ERMS
"EntreMetrix Corp.",ERMX
"Human Pheromone Sciences Inc.",EROX
"ES BANCSHARES MD",ESBS
"Ensurge Inc.",ESGI
"Essential Innovations Technology Corp.",ESIV
"Electronic Sensor Technology, Inc.",ESNR
"Earth Search Sciences Inc.",ESSE
"Environmental Solutions Worldwide Inc.",ESWW
"EnerTeck Corp.",ETCK
"Emtec Inc.",ETEC
"ETHOS ENVIRONMTL NEW",ETEV
"EAST TEXAS FIN SVCS",ETFS
"ENTHEOS TECHS INC",ETHT
"EIGER TECH INC",ETIFF
"eTelcharge.com, Inc.",ETLC
"Elephant Talk Communications Inc.",ETLK
"ETERNAL TECHS GRP",ETLT
"eTwine Holdings, Inc",ETWI
"Eurasia Energy Ltd.",EUEN
"EuroTrust A/S",EURO
"EUGENE SCIENCE INC",EUSI
"ENVIRONMENTAL CONTRL",EVCC
"Evergreenbancorp Inc.",EVGG
"EVOLVING GOLD CORP",EVOGF
"Endovasc Inc.",EVSC
"ELBIT VISION SYS LTD",EVSNF
"Enviro Voraxial Technology Inc.",EVTN
"Execute Sports Inc.",EXCS
"EXPLORATION DRILLING",EXDL
"Explorations Group Inc.",EXGI
"Enxnet Inc.",EXNT
"Exchange Bank of Santa Rosa",EXSR
"ENTERGY GULF STS INC $4.20",EYGFI
"ENTERGY GULF STS INC $7.56",EYGFN
"ENTERGY GULF STS INC $4.44",EYGFO
"ENTERGY GULF  6.08",EYGUO
"EYI INDUSTRIES INC",EYII
"ENTERGY MISS INC 4.92 PFD",EYMSM
"ENTERGY MISS INC 4.36  PFD",EYMSN
"ENTERGY MISS INC 4.56 PFD",EYMSP
"ENTERGY NEW OR 5.56",EYNNQ
"ENTERGY NEW ORL 4.75",EYNOQ
"ENTERGY NEW ORL 4.36",EYNPQ
"Ezenia! Inc.",EZEN
"FIRST AMERICAN SCIEN",FASC
"First National Bank Alaska",FBAK
"FREEDOM BK (FL)",FBBF
"First Banking Center Inc.",FBCI
"FirstBank Financial Services Inc",FBFS
"First Bank of Delaware",FBOD
"FIRST BANK OF OHIO",FBOO
"First Carolina Investors Inc.",FCAR
"Frederick County Bancorp Inc.",FCBI
"First Citizens Bancorp., Inc.",FCBN
"First Century Bankshares Inc.",FCBS
"FC Banc Corp.",FCBZ
"FIRST COMMERC BCP CA",FCCC
"Fog Cutter Capital Group",FCCG
"First Chester County Corp.",FCEC
"1st Centennial Bancorp",FCEN
"FIRST COMMERCE CMTY",FCGA
"FCCC Inc.",FCIC
"FIRST COMMUNITY FINL",FCMP
"1st Century Bank, N.A.",FCNA
"FIRST CITIZENS BKS B",FCNCB
"Falcon Ridge Development Inc.",FCNR
"1st Colonial Bancorp Inc.",FCOB
"Financialcontent Inc.",FCON
"Forme Capital Inc.",FCPL
"First Capital International Inc.",FCPN
"FACTORY CARD WT D",FCPOG
"FACTORY CARD WT C",FCPOL
"FACTORY CARD WT B",FCPOZ
"Fact Corp.",FCTOA
"FRANKLIN COVEY PFD A",FCVYP
"FIRST COWETA BANK",FCWT
"Fidelity D&D Bancorp Inc.",FDBC
"Federal-Mogul Corp.",FDMLQ
"Foldera, Inc.",FDRA
"FREEDOM BANK OF VA",FDVA
"Fleurs De Vie Inc.",FDVE
"FEC Resources Inc.",FECOF
"Far East Energy Corp.",FEEC
"Fentura Financial Inc.",FETM
"Fit For Business International Inc.",FFBU
"FastFunds Financial Corp.",FFFC
"First Independence Corp.",FFSL
"FFW Corp.",FFWC
"Fortuna Gaming Corp.",FGAM
"FORESIGHT FINANCIAL",FGFH
"First Growth Investors Inc.",FGIV
"Florida Gaming Corp.",FGMG
"FREEGOLD VENTURES",FGOVF
"5G Wireless Communications Inc.",FGWI
"The Fashion House Holdings, Inc.",FHHI
"First Internet Bank of Indiana Inc.",FIBP
"FNB INC -DENNISON OH",FIDS
"First Investors Financial Services Group Inc.",FIFS
"FIIC Holdings, Inc.",FIIH
"Findex.com Inc.",FIND
"First Ipswich Bancorp",FIWC
"FEDDERS CORP A",FJCCP
"Franklin Lake Resources Inc.",FKLR
"Franklin Wireless Corp.",FKLT
"First Keystone Corp.",FKYS
"Fullcircle Registry Inc.",FLCR
"First Litchfield Financial Corp.",FLFL
"FTS Group Inc.",FLIP
"Flatbush Federal Bancorp Inc.",FLTB
"FILTERING ASSOCIATES",FLTG
"Fellows Energy Ltd.",FLWE
"Flexpoint Sensor Systems Inc.",FLXT
"Farmers and Merchants Bancorp Inc.",FMAO
"First Mid-Illinois Bancshares Inc.",FMBH
"Farmers & Merchants Bank of Long Beach",FMBL
"F&M Bank Corp.",FMBM
"FARMERS & MERCH IOWA",FMBN
"FIRST MOUNTAIN BCP",FMBP
"Farmers & Merchants Bancorp",FMCB
"FARMERS&MERCHNT BK F",FMFG
"First Montauk Financial Corp.",FMFK
"FIRST MORRIS BK NJ",FMJE
"Family Room Entertainment Corp.",FMLY
"Fremont Michigan Insuracorp Inc.",FMMH
"Farmers National Banc Corp.",FMNB
"Familymeds Group, Inc.",FMRX
"First Manitowoc Bancorp Inc.",FMWC
"FNB Bancorp",FNBG
"First National Community Bancorp Inc.",FNCB
"First Niles Financial Inc.",FNFI
"Financial Media Group, Inc.",FNGP
"FNBH Bancorp Inc.",FNHM
"Fonix Corp.",FNIX
"First National Power Corp.",FNPR
"First Northern Community Bancorp",FNRN
"4net Software Inc.",FNSI
"FINOVA Group Inc.",FNVG
"Forster Drilling Corporation",FODL
"Four Oaks Fincorp Inc.",FOFN
"FITTIPALDI LOGISTICS",FPLD
"FLORIDA PUB 4.75 PFD",FPUUP
"Franklin Financial Services Corp. (PA)",FRAF
"First Real Estate Investment Trust of New Jersey",FREVS
"First Robinson Financial Corp.",FRFC
"FORLINK SOFTWARE",FRLK
"FIRST RESOURCE BK PA",FRSB
"Fusa Capital Corp.",FSAC
"FIRST SOUTH BANCORP INC (SC)",FSBS
"FORTISSIMO ACQ UT",FSMOU
"FRESNO FIRST BK (CA)",FSNF
"Five Star Products Inc.",FSPX
"First Reliance Bancshares Inc.",FSRL
"FREESTAR TECH CORP",FSRT
"FIRST STANDARD BK CA",FSTA
"FIRST SOUND BK (WA)",FSWA
"Footstar Inc.",FTAR
"Fashion Tech International Inc.",FTEC
"Foothills Resources Inc.",FTRS
"Futura Banc Corp.",FUBK
"Fuego Entertainment Inc.",FUGO
"Fullnet Communications Inc.",FULO
"FIRST VIETNAME AM BK",FVAB
"FrameWaves Inc.",FWAV
"Fischer-Watt Gold Co. Inc.",FWGO
"FW PREF CAP TR I 9.0",FWLRP
"First National Corp.",FXNC
"flexSCAN, Inc.",FXSC
"Georgia Bancshares Inc.",GABA
"GEORGIA BANCSH PFD A",GABAP
"Global Aircraft Solutions Inc.",GACF
"Global Entertainment Holdings/Equities Inc.",GAMT
"Garb-Oil & Power Corp.",GARBE
"Recyclenet Corp.",GARM
"Global Axcess Corp.",GAXC
"Global Casinos Inc.",GBCS
"Great Basin Financial Corp.",GBFL
"Global Gold Corp.",GBGD
"GLOBAL PHARMATECH",GBLP
"GLOBETRAC INC",GBTR
"Global Beverage Solutions Inc.",GBVS
"GAMMACAN INTL INC",GCAN
"GREAT CHINA MINING",GCHA
"GREAT CHINA INTERNAT",GCIH
"GREATER CHINA MEDIA",GCME
"Guardian Technologies International Inc.",GDTI
"Global Diversified Industries Inc.",GDVI
"Georgia Carolina Bancshares Inc.",GECR
"Global Environmental Energy Corp.",GEECF
"Internet America Inc.",GEEK
"GEM SOLUTIONS INC",GEMIE
"GENTEK INC WTS C",GETIL
"GENTEK INC WTS B",GETIZ
"Great American Family Parks, Inc.",GFAM
"GFR PHARMACEUTICALS",GFRP
"GLOBAL GREEN SOLUTNS",GGRN
"GOOD HARBOR PTR CL A",GHBAA
"GOOD HARBOR PTR WT W",GHBAW
"GOOD HARBOR PTR WT Z",GHBAZ
"GOOD HARBOR PTR CL B",GHBBB
"GLOBAL INNOVATION CP",GINV
"GEOKINETICS INC NEW",GKNT
"Globe Bancorp Inc.",GLBP
"GULF UNITED ENERGY",GLFE
"Greystone Logistics Inc.",GLGI
"Global General Technologies Inc.",GLGT
"Grant Life Sciences, Inc.",GLIF
"Glowpoint Inc.",GLOW
"Great Lakes Aviation Ltd.",GLUX
"Gaming & Entertainment Group Inc.",GMEI
"Gourmet Herb Growers Inc.",GMHB
"GEMCO MINERALS INC",GMML
"Giant Motorsports Inc.",GMOS
"GreenMan Technologies Inc.",GMTI
"Global Music International Inc.",GMUS
"Groen Brothers Aviation Inc.",GNBA
"GNB FINANCIAL SVCS",GNBF
"Gencor Industries Inc.",GNCI
"GeneLink Inc.",GNLK
"Genio Group Inc.",GNOI
"GENOIL INC",GNOLF
"Genius Products, Inc.",GNPI
"Gateway Energy Corp.",GNRG
"Gener8Xion Entertainment Inc.",GNXE
"GeNOsys Inc.",GNYS
"Geocom Resources Inc.",GOCM
"GLOBAL 1 INVESMT HLD",GOIH
"GraphOn Corp.",GOJO
"Gold Standard Inc.",GOLS
"GOLDEN RIVER RESOURC",GORV
"GVC Venture Corp.",GPAX
"GamePlan Inc.",GPLA
"GPS INDUSTRIES INC",GPSN
"Golden Patriot Corp.",GPTC
"Golden Phoenix Minerals Inc.",GPXM
"Greer Bancshares Inc.",GRBS
"Global Realty Development Corp.",GRLY
"Boystoys.com Inc.",GRLZ
"Graymark Productions Inc.",GRMK
"Grandsouth Bancorp.",GRRB
"GTREX Capital, Inc.",GRXI
"GOLDEN STATE BUS BK",GSBB
"Greater Sacramento Bancorp",GSCB
"GS CleanTech Corporation",GSCT
"GS Energy Corp.",GSEG
"GS AGRIFUELS CORP",GSGF
"GreenShift Corporation",GSHF
"GLOBAL SVCS PTR CL B",GSPAB
"GLOBAL SVCS PTR UT A",GSPAU
"GLOBAL SVCS PTR WT W",GSPAW
"Global Services Partners Acquisition Corp.",GSPBU
"Goldspring Inc.",GSPG
"GOLDEN SPIRIT ENTERP",GSPT
"GSV, Inc.",GSVI
"Gottaplay Interactive, Inc.",GTAP
"Genesis Technology Group Inc.",GTEC
"GeneThera Inc.",GTHA
"GLOBAL TELECOM & TEC",GTLT
"Great American Bancorp Inc.",GTPS
"GRAN TIERRA ENERGY",GTRE
"GLOBETECH VENTURES",GTVCF
"Georgetown Bancorp Inc.",GTWN
"Greenville Federal Financial Corp.",GVFF
"GRANDVIEW GOLD INC",GVGDF
"GVI SECURITIES NEW",GVSS
"GLOBALWISE INVESTMTS",GWIV
"Global Wataire Inc.",GWTE
"GREAT PLAINS EN 4.20",GXPPL
"Galaxy Nutritional Foods Inc.",GXYF
"GRYPHON GOLD GORP",GYPH
"HAPC INC",HAPN
"HAPC, Inc.",HAPNU
"HAPC INC WTS",HAPNW
"Health Benefits Direct Corporation",HBDT
"Highlands Bankshares, Inc.",HBKA
"HOWARD BANCORP MD",HBMD
"HIGHBURY FINANCL",HBRF
"Highbury Financial Inc.",HBRFU
"HIGHBURY FINANCL WT",HBRFW
"HERBORIUM GROUP",HBRM
"Human Biosystems Inc.",HBSC
"Highlands Bankshares Inc.",HBSI
"Healthcare Business Services Groups Inc.",HBSV
"HCB FINANCIAL CORP",HCBN
"HARVEST COMMUNITY BK",HCBP
"HARVEST COMM BK WT",HCBPW
"HCSB Financial Corp.",HCFB
"Hudson Holding Corp.",HDHL
"Hypertension Diagnostics Inc.",HDII
"Hendrx Corp.",HDRX
"Health Discovery Corp.",HDVY
"HemaCare Corp.",HEMA
"Health Enhancement Products Inc.",HEPI
"HARFORD BANK (MD)",HFBK
"Home Federal Bancorp, Inc. of Louisiana",HFBL
"HUIFENG BIO-PHARM TH",HFGB
"Health Fitness Corp.",HFIT
"Hudsons Grill International Inc.",HGIIA
"HIGHLANDS CAP TR I",HGUBP
"Hickok Inc.",HICKA
"Heartland Bancorp",HLAN
"Harold's Stores Inc.",HLDI
"Home Loan Financial Corp.",HLFN
"HEALTH ANTI-AGE LIFE",HLOI
"HALO RESOURCES LTD",HLOSF
"Hampton's Luxury Homes, Inc.",HLXH
"Hemobiotech Inc.",HMBT
"Hemcure Inc.",HMCU
"Hemagen Diagnostics Inc.",HMGN
"HomeLife Inc.",HMLF
"HAMLIN BK & TR (PA)",HMLN
"Horne International, Inc.",HNIN
"Hennessy Advisors, Inc.",HNNA
"HuntMountain Resources",HNTM
"HomeFed Corp.",HOFD
"HONAT BANCORP INC",HONT
"Hotel Outsource Management International Inc.",HOUM
"Hallador Petroleum Co.",HPCO
"HEPALIFE TECHS INC",HPLF
"HOMELAND PRECIOUS",HPMEF
"HouseRaising Inc.",HRAI
"HARTCOURT COS INC",HRCT
"Hybrid Fuels Inc.",HRID
"Heartland Bancshares Inc.",HRTB
"HOSTING SITE NTWK",HSNI
"HealthSport, Inc",HSPO
"Health Systems Solutions Inc.",HSSO
"HS3 Technologies, Inc.",HSTH
"HOME SYSTEM GROUP",HSYT
"Hilltop Community Bancorp, Inc.",HTBC
"Hydron Technologies Inc.",HTEC
"Heartland Inc.",HTLJ
"Hartville Group Inc.",HTVL
"H2DIESEL HOLDINGS",HTWO
"Hudson Valley Holding Corp.",HUVL
"Home Valley Bancorp Inc.",HVYB
"Home Financial Bancorp",HWEN
"HERITAGE WORLDWIDE",HWWI
"Helix Biomedix Inc.",HXBM
"Hybrid Technologies, Inc.",HYBT
"Hydromer Inc.",HYDI
"HYDROGEN POWER INTL",HYDP
"Hydrogen Engine Center, Inc.",HYEG
"Horizon Financial Services Corp.",HZFS
"Horizon Bancorp., Inc.",HZNB
"IAC/INTERACTIV PFD B",IACPP
"Imagenetix Inc.",IAGX
"Information Analysis Inc.",IAIC
"IAS COMMUNICATIONS A",IASCA
"International Automated Systems Inc.",IAUS
"INDIANA BUSINESS BCP",IBBI
"Interactive Brand Development Inc.",IBDI
"IBSG INTL INC",IBIN
"INTL BARRIER TECH",IBTGF
"ICB Financial",ICBN
"InterCare DX Inc.",ICCO
"Incentra Solutions Inc.",ICNS
"Ironclad Performance Wear Corporation",ICPW
"International Card Establishment Inc.",ICRD
"International Commercial Television Inc.",ICTL
"I C T S INTL NV",ICTSF
"iDNA, Inc.",IDAI
"Idaho Bancorp.",IDBC
"Id-Confirm Inc.",IDCOE
"National Datacomputer Inc.",IDCP
"IDI Global Inc.",IDIB
"INDUSTRIAL MINERALS",IDSM
"Indian Village Bancorp Inc.",IDVB
"IEC Electronics Corp.",IECE
"IEH Corp.",IEHC
"IElement Corp.",IELM
"International Energy Inc.",IENI
"Intrepid Technology & Resource Inc.",IESV
"Integrated Environmental Technologies Ltd.",IEVM
"International Food Products Group Inc.",IFDG
"INFe-Human Resources Inc",IFHR
"INTL FIGHT LEAGUE",IFLI
"InforMedix Holdings Inc.",IFMX
"INFOSMART GROUP INC",IFSG
"InfoTech USA Inc.",IFTH
"International Fuel Technology Inc.",IFUE
"IGIA Inc.",IGAI
"Ignis Petroleum Group, Inc.",IGPG
"Inhibiton Therapeutics, Inc.",IHBT
"Integrated Healthcare Holdings Inc.",IHCH
"Idaho Independent Bank",IIBK
"IKONA GEAR INTL INC",IKGI
"Illini Corp.",ILII
"International Star Inc.",ILST
"Intermountain Community Bancorp",IMCB
"Infinite Group Inc.",IMCI
"InMedica Development Corp.",IMDD
"Imaging Diagnostic Systems Inc.",IMDS
"Integrity Mutual Funds Inc.",IMFD
"Imaging3 Inc.",IMGG
"Imagin Molecular Corporation",IMGM
"Integrated Media Holdings, Inc.",IMHI
"INDIANA MICHIGAN4.56",IMIGN
"Immediatek Inc.",IMKI
"Impart Media Group Inc.",IMMG
"INTERMOST CORP",IMOT
"Image Technology Laboratories Inc.",IMTL
"Interactive Motorsports & Entertainment Corp.",IMTS
"Implantable Vision, Inc.",IMVS
"Infinex Ventures Inc.",INFX
"International Isotopes Inc.",INIS
"INTL ISOTOPES WT B",INISZ
"Inksure Technologies Inc.",INKS
"International Monetary Systems Ltd.",INLM
"Innuity, Inc.",INNU
"INTL PAPER CO $4 PFD",INPAP
"INNOVA ROBOTICS & AU",INRA
"Invisa Inc.",INSA
"Intrusion Inc.",INTZ
"Integral Vision Inc.",INVI
"Iowa First Bancshares Corp.",IOFB
"I/O Magic Corp.",IOMG
"ION Networks Inc.",IONN
"Intraop Medical Corp.",IOPM
"IONATRON INC CV PFD",IOTNP
"Interplay Entertainment Corp.",IPLY
"Imperial Petroleum Inc.",IPMN
"Iporussia Inc.",IPOR
"Innova Pure Water Inc.",IPUR
"InRob Tech Ltd.",IRBL
"IR Biosciences Holdings Inc.",IRBO
"Ireland, Inc.",IREL
"IRON & GLASS BANCORP INC",IRGB
"Ironstone Group Inc.",IRNS
"IC Isaacs & Co. Inc.",ISAC
"ISA Internationale Inc.",ISAT
"INTL SPEEDWAY CL B",ISCB
"iSecureTrac Corp.",ISEC
"Emerging Vision Inc.",ISEE
"InfoSearch Media Inc.",ISHM
"International Smart Sourcing Inc.",ISSG
"INTL SMART SOURCE WT",ISSGW
"Interactive Systems Worldwide Inc.",ISWI
"ITC^DeltaCom Inc.",ITCD
"Interdyne Co.",ITDN
"ITEX Corp.",ITEX
"Integral Technologies Inc.",ITKG
"Internet Infinity Inc.",ITNF
"Intrepid Holdings Inc.",ITPD
"Itronics Inc.",ITRO
"International Lottery & Totalizator Systems Inc.",ITSI
"Interactive Television Networks Inc.",ITTV
"INTERNATIONAL TEXTIL",ITXN
"IVI Communications Inc.",IVCM
"Ivoice Inc.",IVOI
"iVoice Technology Inc.",IVOT
"Innovive Pharmaceuticals, Inc.",IVPH
"IceWEB Inc.",IWEB
"IWI HOLDING LTD",IWIHF
"IWT Tesoro Corp.",IWTT
"Inform Worldwide Holdings Inc.",IWWI
"Index Oil & Gas, Inc.",IXOG
"INNEXUS BIOTECH CORP",IXSBF
"INTELISYS AVIATION",IYSA
"InZon Corp.",IZON
"Integrated Security Systems Inc.",IZZI
"Javo Beverage Company Inc.",JAVO
"John D. Oil & Gas Co.",JDOG
"Jacobs Financial Group, Inc.",JFGI
"JAGUAR ACQUISITION",JGAC
"Jaguar Acquisition Corp.",JGACU
"Jagged Peak, Inc.",JGPK
"JOINTLAND DEVELOPMNT",JLDV
"JL Halsey Corp.",JLHY
"Janel World Trade Ltd.",JLWT
"JMAR Technologies Inc.",JMAR
"Jupiter Marine International Holdings Inc.",JMIH
"JEANTEX GROUP INC",JNTX
"Eat At Joes Ltd.",JOES
"JPC Capital Partners Inc.",JPCI
"Juniper Group Inc.",JUNI
"Juniata Valley Financial Corp.",JUVF
"Java Express Inc.",JVEX
"Kaire Holdings Inc.",KAIH
"KANA Software Inc.",KANA
"KYTO BIOPHARMA INC",KBPH
"KLONDIKE STAR MINERL",KDSM
"Cadus Corp.",KDUS
"KEY HOSPITALITY ACQ",KHPA
"Key Hospitality Acquisition Corp.",KHPAU
"KEY HOSPITALITY WT",KHPAW
"Kentucky Investors Inc.",KINV
"KIEWIT ROYALTY TRUST",KIRY
"Kayenta Kreations Inc.",KKRI
"Kik Technology International Inc.",KKTI
"Killbuck Bancshares Inc.",KLIB
"KOMODO INC",KMDO
"CONTINENTAL MINERALS",KMKCF
"Knobias Inc.",KNBS
"Kronos Advanced Technologies Inc.",KNOS
"Kolorfusion International Inc.",KOLR
"Karver International Inc.",KRVR
"KS Bancorp Inc.",KSBI
"Katy Inds Inc",KATY
"Kentucky Bancshares Inc.",KTYB
"Kiwa Bio-Tech Products Group Corp.",KWBT
"KEEWATIN WINDPOWER",KWPW
"Knewtrino, Inc.",VNGM
"Keystone Consolidated Industries Inc.",KYCN
"PLAINTREE SYS INC",LANPE
"Lescarden Inc.",LCAR
"LCNB Corp.",LCNB
"LINCOLN INTL CL-A",LCNIA
"LODGIAN INC NEW WT A",LDGIW
"LODGIAN INC NEW WT B",LDGIZ
"Leisure Direct Inc.",LDTI
"LecTec Corp.",LECT
"Levcor International Inc.",LEVC
"Lev Pharmaceuticals, Inc.",LEVP
"Left Behind Games, Inc.",LFBG
"LitFunding Corp.",LFDG
"Life USA Inc.",LFUI
"LGA Holdings Inc.",LGAH
"Legacy Communications Corp.",LGCC
"LINCOLN GOLD CORP",LGCP
"LEGEND INTL HLDGS",LGDI
"Longfoot Communications Corp",LGFT
"Legend Mobile Inc.",LGMB
"Largo Vista Group Ltd.",LGOV
"Logistical Support Inc.",LGSL
"LIBERTY BANCORP (CA)",LIBC
"LION Inc.",LINN
"Little Squaw Gold Mining Co.",LITS
"LKA International Inc.",LKAI
"LAMPERD LESS LETHAL",LLLI
"LaserLock Technologies Inc.",LLTI
"Lime Energy",LMEC
"LINGO MEDIA INC",LNGMF
"LINUX GOLD CORP",LNXGF
"Lincoln Park Bancorp.",LPBC
"Lions Petroleum, Inc.",LPET
"Lapis Technologies Inc.",LPST
"Le@p Technology Inc.",LPTC
"Lpath Inc.",LPTN
"LipidViro Tech Inc.",LPVT
"Liquidmetal Technologies Inc.",LQMT
"LSB INDS INC 10% PFD",LSBBP
"Lighting Science Group Corp.",LSGP
"LIFE SCIENCES RESEAR",LSRI
"Littlefield Corp.",LTFD
"Little Bank Inc.",LTLB
"LITEWAVE CORPORATION",LTWV
"Lucas Energy, Inc.",LUCE
"LUZERNE NATL BK CORP",LUZR
"LAS VEGAS FROM HOME",LVFHF
"LiveWorld Inc.",LVWD
"LINKWELL CORPORATION",LWLL
"Lexington Resources Inc.",LXRS
"LYONS BANCORP INC",LYBC
LyndonBank,LYSB
"LAYCOR VENTURES CORP",LYVN
"MacroChem Corp.",MACM
"Magnitude Information Systems Inc.",MAGY
"MAKEUP.COM LIMITED",MAKU
"Mammatech Corp.",MAMM
"MANARIS CORPORATION",MANS
"Mobile Area Networks Inc.",MANW
"Maui General Store Inc.",MAUG
"MBI Financial Inc.",MBIF
"METAIRIE BK & TR (LA",MBKL
MORTGAGEBROKERS.COM,MBKR
"Merchants Bancorp",MBNC
"MB Software Corp.",MBSB
"Millennium Biotechnologies Group Inc.",MBTG
"MILK BOTTLE CARDS",MBTL
"Money Centers of America Inc.",MCAM
"Marco Community Bancorp Inc.",MCBN
"Monarch Cement Co.",MCEM
"MultiCell Technologies Inc.",MCET
"Midcarolina Financial Corp.",MCFI
"Mechanics Bank",MCHB
"Midland Capital Holdings Corp.",MCPH
"Morgan Creek Energy Corp.",MCRE
"Medical Connections Holdings, Inc.",MCTH
"Micro Component Technology Inc.",MCTI
"Medicalcv Inc.",MCVI
"Med-Emerg International Inc.",MDER
"MADISON EXPLORATIONS",MDEX
"Medefile International, Inc.",MDFI
"Minden Bancorp Inc.",MDNB
"MAGNUM D OR RESOURCE",MDOR
"MIDAMERICAN ERGY4.80",MDPWL
"MIDAMERICAN EGY 4.35",MDPWM
"MIDAMERICAN ERY 3.30",MDPWN
"Mediscience Technology Corp.",MDSC
"MediStem Laboratories, Inc.",MDSM
"Megadata Corp.",MDTA
"MDU Communications International Inc.",MDTV
"MDU RES GROUP 4.70",MDURN
"MDU RES GROUP 4.50",MDURP
"Modavox Inc.",MDVX
"MDwerks, Inc.",MDWK
"MediaNet Group Technologies Inc.",MEDG
"Mendocino Brewing Co. Inc.",MENB
"M&F Bancorp Inc.",MFBP
"Microwave Filter Co. Inc.",MFCO
"Mutual Federal Bancorp Inc",MFDB
"MFIC Corp.",MFIC
"MONEYFLOW SYS INTL",MFLW
"Med Gen Inc.",MGEN
"MINGHUA GRP INTL HLD",MGHA
"MAGELLAN HLTH WTS",MGLNW
"MGN TECHNOLOGIES INC",MGNLF
"Magnus International Resources Inc.",MGNU
"MangoSoft Inc.",MGOF
"Michigan Heritage Bancorp Inc.",MHBC
"MOST HOME CORP",MHME
"Microfield Group Inc.",MICG
"Migo Software, Inc.",MIGO
"Medina International Holdings Inc.",MIHI
"MicroIslet Inc.",MIIS
"Mission Community Bancorp",MISS
"Mitek Systems Inc.",MITK
"MIV THERAPEUTICS INC",MIVT
"Mikros Systems Corp.",MKRS
"Moller International Inc.",MLER
"Malex Inc.",MLEX
"Malaga Financial Corp.",MLGF
"MEDLINK INTL INC",MLKNA
"MELO BIOTECHNOLG HLD",MLOBF
"Molecular Pharmacology (USA) Ltd.",MLPH
"Milestone Scientific Inc.",MLSS
"MILESTONE SC WARRANT",MLSSW
"Melt Inc.",MLTC
"Medical Makeover Corp. of America",MMAM
"Merchants & Manufacturers Bancorp., Inc.",MMBI
"MicroMed Cardiovascular, Inc",MMCV
"Montana Mining Corp.",MMGC
"MM2 Group, Inc.",MMGP
"Mass Megawatts Wind Power Inc.",MMGW
"Marmion Industries Corp.",MMIO
"MADISON MINERALS INC",MMRSF
"MICROMEM TECH INC",MMTIF
"Mills Music Trust",MMTRS
"Multi-Media Tutorial Services Inc.",MMTS
"Medical Media Television, Inc.",MMTV
"MNB CORP (BANGOR PA)",MNBC
"MNB HOLDINGS CORP CA",MNBO
"Mountain National Bancshares Inc.",MNBT
"Manchester Inc.",MNCS
"Minera Andes Inc.",MNEAF
"MINE SAFETY APPL 4.5",MNESP
"MILLENIUM HLDG GRP",MNHGE
"Monadnock Bancorp, Inc.",MNKB
"Monument Resources Inc.",MNMN
"MAINSTREET BK (VA)",MNSB
"Mobilepro Corp.",MOBL
"Mountain 1st Bank & Trust Company",MOBT
"Modern Medical Modalities Corp.",MODM
"MISSION OAKS BANCORP",MOKB
"MOTHER LODE BK CA",MOLB
"Mesa Offshore Trust",MOSH
"MotivNation Inc.",MOVT
"Micropac Industries Inc.",MPAD
"METROPACIFIC BANK CA",MPBK
"MPM Technologies Inc.",MPML
"MISSISSIPPI PWR CO 4.40 PFD",MPRWL
"MISSISSIPPI PWR CO 4.60 PFD",MPRWP
"MERIDIAN CO LTD",MRDAF
"MIRANDA GOLD CORP",MRDDF
"MediaREADY Incorporated",MRED
"Morgan's Foods Inc.",MRFD
"Mera Pharmaceuticals Inc.",MRPI
"Mission Bancorp",MSBC
"MedaSorb Technologies Corporation",MSBT
"MSGI Security Solutions, Inc.",MSGI
"Medical Solutions Management Inc.",MSMT
"MISSISSIPPI PWR CO 4.72 PFD",MSPWP
"Medical Staffing Solutions Inc.",MSSI
"Monarch Staffing, Inc.",MSTF
"Mid-Southern Savings Bank",MSVB
"Mortgage Assistance Center Corp.",MTGC
"Machine Talker Inc.",MTKN
"MATERIAL TECHS A NEW",MTTG
"Mutual Community Savings Bank, SSB",MTUC
"Metwood Inc.",MTWD
"M 2003 PLC SPON ADR",MTWOE
"MISSION VLY BCP CA",MVLY
"Maverick Oil and Gas Inc.",MVOG
"Mediavest, Inc.",MVSI
"MOVENTIS CAPITAL INC",MVTS
"Mid-Wisconsin Financial Services Inc.",MWFS
"Marwich II Ltd.",MWII
"M-WISE INC",MWIS
