# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"AVINO SILVER & GOLD",ASGMF
"Asap Show Inc.",ASHI
"ASI ENTERTAINMENT",ASIQ
"ASI Technology Corp.",ASIT
"Atlantic Syndication Networks Inc.",ZLST
"Aspen Exploration Corp.",ASPN
"Astralis Ltd.",ASTR
"AMERICAN TONERSERV",ASVP
"American Southwest Music Distribution, Inc.",ASWD
"ANGLO SWISS RESOURCE",ASWRF
"ALBERTA STAR DEV",ASXSF
"ALTERNET SYSTEMS INC",ASYI
"ASTRONICS CORP CL B",ATROB
"ATSI Communications Inc.",ATSX
"Astrata Group Inc.",ATTG
"ACTIVECORE TECHS INC",ATVEE
"A21 Inc.",ATWO
"Australian Canadian Oil Royalties Ltd.",AUCAF
"AUSTRALIAN FOREST IN",AUFI
"AURELIO RESOURCE CP",AULO
"American Unity Investments, Inc.",AUNI
"AURORA METALS BVI",AURMF
"AutoInfo Inc.",AUTO
"Auxilio Inc.",AUXO
"APPLE VALLEY BK COM",AVBK
"American Vantage Companies",AVCS
"Advant-E Corp.",AVEE
"Avicena Group Inc",AVGO
"AVANI INTL GRP NEW",AVIT
"Allegheny Valley Bancorp Inc.",AVLY
"Advance Nanotech Inc.",AVNA
"Aventura Holdings, Inc.",AVNT
"Avenue Group Inc.",AVNU
"AVP Inc.",AVPI
"Averion International Corp.",AVRO
"Avatech Solutions, Inc.",AVSO
"Avitar Inc.",AVTI
"ACTIONVIEW INTL INC",AVWI
"AVAX Technologies Inc.",AVXT
"Activeworlds Corp.",AWLD
"ATLANTIC WINE AGENCY",AWNA
"AMERICAS WIND ENERGY",AWNE
"Access Worldwide Communications Inc.",AWWC
"Ariel Way Inc.",AWYI
"AMARC RESOURCES LTD",AXREF
"Amexdrug Corp.",AXRX
"AXCESS International Inc.",AXSI
"Axial Vector Engine Corp.",AXVC
"Alloy Steel International Inc.",AYSI
"Aztec Oil & Gas Inc.",AZGS
"BAB Inc.",BABB
"BARABOO BANCORP INC",BAOB
"Bay Banks of Virginia Inc.",BAYK
"Bombay Company Inc.",BBAOE
"New York Health Care Inc.",BBAL
"Beach Business Bank",BBBC
"Baker Boyer Bancorp",BBBK
"Mountain States Holdings Inc.",BBDS
"BK NEW CANAAN COM",BCAN
"BEACH COMM BNC (FL)",BCBF
"Brooklyn Cheesecake & Desert Company, Inc.",BCKE
"Brainstorm Cell Therapeutics Inc.",BCLI
"Bay Commercial Bank",BCML
"BIOCORAL INC",BCRA
"Broadcast International Inc.",BCST
"BIG CAT ENERGY CORP",BCTE
"BUSINESS DEVELOPMENT",BDEV
"B&D Food Corp.",BDFC
"Bridge Bancorp Inc.",BDGE
"Brendan Technologies, Inc.",BDTE
"BEICANG IRON & STEEL",BEIC
"BEO Bancorp",BEOB
"Berliner Communications Inc.",BERL
"BEESTON ENTERPR NEW",BESE
"Blast Energy Services Inc.",BESV
"American Wagering Inc.",BETM
"Buckeye Ventures, Inc.",BEYV
"B F C FINANCIAL CP B",BFCFB
"BioForce Nanosciences Holdings, Inc.",BFNH
"Bluegate Corp.",BGAT
"Bio-Bridge Science Inc.",BGES
"BankGreenville Financial Corp.",BGVF
"Burke & Herbert Bank & Trust Co.",BHRB
"Blackhawk Bancorp Inc.",BHWB
"BlackHawk Fund",BHWF
"BIOTECH HOLDINGS LTD",BIOHF
"Biophan Technologies Inc.",BIPH
"BEKEM METALS INC",BKMM
"Bank On It, Inc.",BKOT
"BANK UTICA NY",BKUT
"BANK UTICA NY NONVTG",BKUTK
"Bank of Kentucky Financial Corp.",BKYF
"BIO-key International Inc.",BKYI
"BioLife Solutions Inc.",BLFS
"BlastGard International Inc.",BLGA
"Blue Ridge Real Estate Co.",BLRGZ
"Bullion River Gold Corp.",BLRV
"Balsam Ventures Inc.",BLSV
"Baltia Air Lines Inc.",BLTA
"Benchmark Bankshares Inc.",BMBN
"Battle Mountain Gold Exploration Corp.",BMGX
"Burke Mills Inc.",BMLS
"BLACK MOUNTAIN CAPTL",BMMUF
"Biomerica Inc.",BMRA
"bioMETRX, Inc.",BMRX
"Bio-Matrix Scientific Group, Inc.",BMSN
"BROOKMOUNT EXPLORATN",BMXI
"Bion Environmental Technologies Inc.",BNET
"BINGO.COM LTD",BNGOF
"BANK OF NAPA NA (CA)",BNNP
"BONTAN CORP INC",BNTNF
"BRADNER VENTURES LTD",BNVLF
"Brinx Resources Ltd.",BNXR
"Brazil Fast Food Corp.",BOBS
"BIOCUREX INC",BOCX
"Baseline Oil & Gas Corp.",BOGA
"Bank of the James Financial Group Inc.",BOJF
"BANK OF COMMERCE NC",BONC
"Botetourt Bankshares Inc.",BORT
"Bioethics Ltd.",BOTH
"BI-OPTIC VENTURES",BOVKF
"BrandPartners Group Inc.",BPTR
"Balaton Power Inc.",BPWRF
"Brampton Crest International Inc.",BRCI
"Beard Co.",BRCO
"Bresler & Reiner Inc.",BRER
"BRAINTECH INC",BRHI
"Ballistic Recovery Systems Inc.",BRSI
"Bank of Santa Clarita",BSCA
"Bigstring Corp.",BSGC
"Boss Holdings Inc.",BSHI
"Basic Earth Science Systems Inc.",BSIC
"Bio-Solutions Manufacturing Inc.",BSLM
"BANK OF SALEM (OR)",BSOG
"Bison Instruments Inc.",BSOI
"BALLSTON SPA BANCORP",BSPA
"BLACKSANDS PETROLEUM",BSPE
"Bankers Store Inc.",BSTR
"Biotel Inc.",BTEL
"BioStem Inc.",BTEM
"BioTime Inc.",BTIM
"BIOTIME INC WTS",BTIMW
"B2Digital Inc.",BTOD
"US Microbics Inc.",BUGS
"Butler National Corp.",BUKS
"Blue Valley Ban Corp.",BVBC
"BV Financial, Inc.",BVFL
"Broadview Institute, Inc.",BVII
"BVR Systems (1998) Ltd.",BVRSF
"BroadVision Inc.",BVSN
"Biovest International Inc.",BVTI
"Bestway Coach Express Inc.",BWCX
"Bowlin Travel Centers Inc.",BWTL
"BAXTER INTL INC CTG PYT RT",BXTRR
"BUFFALO GOLD LTD",BYBUF
"Bayou City Exploration Inc.",BYCX
"Baylake Corp.",BYLK
"Baywood International Inc.",BYWD
"Burzynski Research Institute",BZYR
"CALIFORNIA BUS BANK",CABB
"California Community Bank",CABK
"CareAdvantage Inc.",CADV
"Host America Corp.",CAFE
"CHINA AGRITECH INC",CAGC
"CALEDONIA MINING CP",CALVF
"CalWest Bancorp",CALW
"Cambridge Heart Inc.",CAMH
"Cambridge Bancorp",CATC
"China Aoxing Pharmaceutical Co., Inc.",CAXG
"Crested Corp.",CBAG
"Cord Blood America Inc.",CBAI
"Century Bank (Eugene, OR)",CBAO
"COMMUNITY BUS BK CA",CBBC
"Coastal Banking Co. Inc.",CBCO
"Capital Beverage Corp.",CBEV
"CB FINANCIAL SVC IPA",CBFV
"Cornerstone Bank",CBKJ
"Consumers Bancorp Inc.",CBKM
"CAMPBELL RESOURCES",CBLRF
"Calypte Biomedical Corp.",CBMC
"County Bank Corp.",CBNC
"Community Bank & Trust Co.",CBNH
"COMMUNITY NATL BK NY",CBNY
"CBOA FINANCIAL INC",CBOF
"CANTON BANCORP (PA)",CBPA
"China Biopharma, Inc.",CBPC
"Creative Beauty Supply of New Jersey Corp.",CBSJ
"CommunitySouth Bancshares Inc.",CBSO
"CBT Financial Corp.",CBTC
"Christiana Bank & Trust Co.",CBTD
"COMMUNITY BK BAY CA",CBYAA
"CHINO COMMERCIAL BCP",CCBC
"CLEARLY CANADIAN BEV",CCBEF
"CHAI-NA-TA CORP",CCCFF
"City Capital Corp.",CCCN
"Cryo-Cell International Inc.",CCEL
"CCSB Financial Corp.",CCFC
"CCFNB Bancorp Inc.",CCFN
"Champion Communication Services Inc.",CCMS
"Command Center, Inc.",CCNI
"Colonial Commercial Corp.",CCOM
"Competitive Companies Inc.",CCOP
"Can-Cal Resources Ltd.",CCRE
"Cardinal Bankshares Corp.",CDBK
"Comdisco Holding Co. Inc.",CDCO
"COMDISCO HLDG RTS",CDCOR
"CORONADO FIRST BANK",CDFB
"Cambridge Holdings Ltd.",CDGD
"CDG INVESTMENTS INC",CDGEF
"CHINA DIGITAL MEDIA",CDGT
"Cardiff International Inc.",CDIF
"CDSI Holdings Inc.",CDSI
"Citadel Security Software Inc.",CWDW
"Cardium Therapeutics Inc.",CDTP
"Cecil Bancorp Inc.",CECB
"CHINA EDUCATION ALLN",CEDA
"CONS EDISON 4.65 D",CEDNM
"CENTRAL FLORID ST BK",CEFB
"COMMERCIAL NATL FINL CORP (MI)",CEFC
"CONS ENERGY INC (WY)",CEIWE
